价格,新车价,行驶时间,公里数,保养方式,使用类型,所在地,环境标准,年检到期日,保险到期日,depre,city,miles,years,y
6.7,9.76,1年7个月,2.80万公里,无定期保养,非营运车,重庆,国5,2017年11月,2017年11月,0.686475409836,cq,2.8,1.08333333333,0.783692610433
7.8,10.83,10个月,1.50万公里,4S店定期保养,非营运车,重庆,国5,2018年12月,2017年12月,0.720221606648,cq,1.5,1.08333333333,0.945561114174
2.38,7.48,5年11个月,7.00万公里,4S店定期保养,非营运车,重庆,国4,2018年11月,2018年11月,0.318181818182,cq,7.0,5.41666666667,-0.762140052047
3.88,12.8,7年9个月,6.00万公里,4S店定期保养,非营运车,重庆,国4,2018年01月,2018年01月,0.303125,cq,6.0,7.58333333333,-0.832460792957
5.88,13.01,5年,3.60万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.451960030746,cq,3.6,5.41666666667,-0.192754472516
2.98,8.24,7年4个月,7.20万公里,4S店定期保养,非营运车,重庆,国4,2018年06月,2018年06月,0.361650485437,cq,7.2,7.58333333333,-0.568207726232
5.8,21.6,4年,3.00万公里,无定期保养,非营运车,重庆,欧2,2017年10月,2017年10月,0.268518518519,cq,3.0,4.33333333333,-1.00215202248
13.99,15.19,7个月,0.26万公里,4S店定期保养,非营运车,重庆,国5,2021年03月,2018年02月,0.921000658328,cq,0.26,7.58333333333,2.45602123188
14.6,31.59,7年3个月,13.00万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.462171573283,cq,13.0,7.58333333333,-0.15160340697
1.98,19.08,11年2个月,9.00万公里,4S店定期保养,非营运车,重庆,国2,2018年06月,2018年06月,0.103773584906,cq,9.0,1.08333333333,-2.1559816188
5.4,11.92,4年9个月,8.52万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.453020134228,cq,8.52,4.33333333333,-0.188475422368
2.78,10.51,7年5个月,15.00万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.264509990485,cq,15.0,7.58333333333,-1.0226579349
7.1,12.24,2年3个月,2.00万公里,4S店定期保养,非营运车,重庆,欧4,2019年07月,2019年07月,0.580065359477,cq,2.0,2.16666666667,0.32304170458
1.68,9.31,9年9个月,8.30万公里,4S店定期保养,非营运车,重庆,国3,2018年01月,2018年01月,0.18045112782,cq,8.3,9.75,-1.51329405188
8.78,15.16,1年11个月,2.00万公里,4S店定期保养,非营运车,重庆,国5,2017年11月,2017年11月,0.579155672823,cq,2.0,1.08333333333,0.31930831029
15.38,17.47,1年7个月,0.33万公里,4S店定期保养,非营运车,重庆,,2018年03月,2019年03月,0.880366342301,cq,0.33,1.08333333333,1.9959038981
26.88,38.97,4年3个月,6.00万公里,4S店定期保养,非营运车,重庆,欧4,2019年07月,已到期,0.689761354888,cq,6.0,4.33333333333,0.799003851028
8.8,18.11,2年10个月,3.55万公里,无定期保养,非营运车,重庆,"国4,京5",2017年10月,2017年10月,0.485919381557,cq,3.55,2.16666666667,-0.0563373698048
3.28,10.83,6年3个月,6.00万公里,无定期保养,非营运车,重庆,"国4,OBD",2017年11月,2017年11月,0.302862419206,cq,6.0,6.5,-0.833704140865
11.8,32.13,6年6个月,6.00万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.367258014317,cq,6.0,6.5,-0.543998096169
29.8,88.57,6年4个月,9.00万公里,4S店定期保养,非营运车,重庆,欧4,2019年06月,2019年06月,0.33645703963,cq,9.0,6.5,-0.679123127113
1.58,13.0,11年9个月,13.00万公里,4S店定期保养,非营运车,重庆,国2,2018年01月,2018年01月,0.121538461538,cq,13.0,1.08333333333,-1.97794135719
5.8,13.55,7年1个月,9.14万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.428044280443,cq,9.14,7.58333333333,-0.289834925813
7.95,14.31,3年3个月,2.10万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年07月,2019年07月,0.555555555556,cq,2.1,3.25,0.223143551314
6.78,7.8,9个月,0.68万公里,4S店定期保养,非营运车,重庆,国5,2019年01月,2018年01月,0.869230769231,cq,0.68,9.75,1.89417447466
0.76,4.22,8年7个月,9.00万公里,4S店定期保养,非营运车,重庆,国4,2018年03月,2018年03月,0.18009478673,cq,9.0,8.66666666667,-1.51570543477
3.58,12.8,7年1个月,8.50万公里,4S店定期保养,非营运车,重庆,国4,2018年09月,2018年09月,0.2796875,cq,8.5,7.58333333333,-0.946012237156
10.38,13.76,1年2个月,1.80万公里,4S店定期保养,非营运车,重庆,国5,2018年08月,2019年08月,0.754360465116,cq,1.8,1.08333333333,1.12200516824
13.5,21.7,3年7个月,3.00万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年03月,2018年03月,0.622119815668,cq,3.0,3.25,0.498555531174
4.8,12.58,5年4个月,5.10万公里,4S店定期保养,非营运车,重庆,欧5,2018年06月,2018年06月,0.381558028617,cq,5.1,5.41666666667,-0.482940420276
21.68,33.63,3年6个月,6.43万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.644662503717,cq,6.43,3.25,0.595658898194
5.0,10.84,3年9个月,1.90万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.461254612546,cq,1.9,3.25,-0.155292884406
1.86,6.38,6年7个月,9.60万公里,4S店定期保养,非营运车,重庆,国4,2019年03月,2019年03月,0.291536050157,cq,9.6,6.5,-0.887935506119
3.9,11.05,7年,6.00万公里,4S店定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.352941176471,cq,6.0,7.58333333333,-0.60613580357
4.0,59.48,13年3个月,15.00万公里,4S店定期保养,非营运车,重庆,欧3,2018年07月,2018年07月,0.0672494956288,cq,15.0,1.08333333333,-2.62972823433
6.98,11.48,3年3个月,2.00万公里,无定期保养,非营运车,重庆,"国4,京5",2017年10月,2017年10月,0.608013937282,cq,2.0,3.25,0.438971519998
9.9,15.17,3年,3.00万公里,无定期保养,非营运车,重庆,"国4,国5",2017年10月,2017年10月,0.652603823336,cq,3.0,3.25,0.630504394587
12.68,31.37,5年3个月,5.60万公里,4S店定期保养,非营运车,重庆,欧4,2018年07月,2018年07月,0.404207841887,cq,5.6,5.41666666667,-0.387962672458
7.98,23.64,9年9个月,10.00万公里,4S店定期保养,非营运车,重庆,国3,2018年01月,2018年01月,0.337563451777,cq,10.0,9.75,-0.674171279101
15.8,24.18,11个月,1.90万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.653432588916,cq,1.9,1.08333333333,0.634162025539
1.68,6.49,7年3个月,7.00万公里,4S店定期保养,非营运车,重庆,国4,2019年01月,2018年01月,0.258859784284,cq,7.0,7.58333333333,-1.0519032907
1.88,10.62,11年9个月,10.00万公里,4S店定期保养,非营运车,重庆,国4,2018年01月,2018年01月,0.177024482109,cq,10.0,1.08333333333,-1.53663841283
8.8,20.61,5年6个月,4.20万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.426977195536,cq,4.2,5.41666666667,-0.294194908725
2.98,5.68,3年4个月,3.50万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年01月,2018年01月,0.524647887324,cq,3.5,3.25,0.098671527507
5.18,13.0,6年2个月,8.00万公里,4S店定期保养,非营运车,重庆,国3,2017年12月,2017年12月,0.398461538462,cq,8.0,6.5,-0.411879498286
6.5,14.32,4年7个月,10.01万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.453910614525,cq,10.01,4.33333333333,-0.184882377656
82.8,101.82,10个月,0.79万公里,无定期保养,非营运车,重庆,欧5,已到期,已到期,0.81319976429,cq,0.79,1.08333333333,1.47093700427
39.88,63.61,2年3个月,2.00万公里,4S店定期保养,非营运车,重庆,欧4,2017年10月,2017年10月,0.626945448829,cq,2.0,2.16666666667,0.519134874646
8.98,40.11,9年4个月,9.70万公里,4S店定期保养,非营运车,重庆,国4,2018年06月,2018年06月,0.223884318125,cq,9.7,9.75,-1.24317210214
4.58,9.95,2年11个月,3.20万公里,4S店定期保养,非营运车,重庆,"OBD,国5",2018年11月,2017年11月,0.460301507538,cq,3.2,2.16666666667,-0.159128910395
3.8,12.91,9年,3.80万公里,4S店定期保养,非营运车,重庆,"国3,OBD",2017年10月,2017年10月,0.294345468629,cq,3.8,9.75,-0.87437164454
2.38,7.15,6年9个月,7.00万公里,4S店定期保养,非营运车,重庆,国4,2018年01月,2018年01月,0.332867132867,cq,7.0,6.5,-0.695245817217
13.9,30.37,4年6个月,10.00万公里,无定期保养,非营运车,重庆,欧5,2017年11月,2017年11月,0.457688508396,cq,10.0,4.33333333333,-0.169651704053
3.2,5.96,4年9个月,4.00万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.536912751678,cq,4.0,4.33333333333,0.147920130077
6.88,14.63,4年10个月,5.12万公里,无定期保养,非营运车,重庆,国4,2017年09月,2017年09月,0.47026657553,cq,5.12,4.33333333333,-0.11907419142
1.2,11.48,13年9个月,10.00万公里,4S店定期保养,非营运车,重庆,欧3,2018年01月,2018年01月,0.104529616725,cq,10.0,1.08333333333,-2.14787870323
2.98,9.42,5年1个月,5.00万公里,无定期保养,非营运车,重庆,国4,2018年09月,已到期,0.316348195329,cq,5.0,5.41666666667,-0.770605239599
13.6,22.11,2年4个月,5.30万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.615106286748,cq,5.3,2.16666666667,0.468827850157
35.36,54.23,2年8个月,3.00万公里,4S店定期保养,非营运车,重庆,"国4,国5",2019年02月,2019年02月,0.652037617555,cq,3.0,2.16666666667,0.628007878389
27.88,34.71,2年3个月,2.70万公里,4S店定期保养,非营运车,重庆,国5,已到期,已到期,0.803226735811,cq,2.7,2.16666666667,1.40658491231
4.49,16.91,7年8个月,7.00万公里,4S店定期保养,非营运车,重庆,国4,2018年02月,已到期,0.265523358959,cq,7.0,7.58333333333,-1.01745537475
29.8,35.36,2年5个月,5.60万公里,无定期保养,非营运车,重庆,欧5,2017年11月,2017年11月,0.842760180995,cq,5.6,2.16666666667,1.67891028525
15.98,22.78,1年4个月,1.50万公里,4S店定期保养,非营运车,重庆,,2018年06月,2017年12月,0.701492537313,cq,1.5,1.08333333333,0.854415328156
7.48,14.31,5年2个月,5.00万公里,4S店定期保养,非营运车,重庆,国4,2018年08月,2019年08月,0.522711390636,cq,5.0,5.41666666667,0.0909081184037
4.5,12.14,5年9个月,4.00万公里,4S店定期保养,非营运车,重庆,国4,2018年01月,2018年01月,0.370675453048,cq,4.0,5.41666666667,-0.529320206402
4.28,15.17,6年10个月,7.80万公里,4S店定期保养,非营运车,重庆,国3,2017年12月,2017年12月,0.282135794331,cq,7.8,6.5,-0.933891927351
9.2,33.22,8年1个月,8.70万公里,4S店定期保养,非营运车,重庆,国4,2018年09月,2018年09月,0.276941601445,cq,8.7,8.66666666667,-0.959683332597
1.95,7.26,5年7个月,5.00万公里,4S店定期保养,非营运车,重庆,国4,2018年03月,2019年03月,0.268595041322,cq,5.0,5.41666666667,-1.00176246268
7.6,12.24,3年11个月,1.91万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.62091503268,cq,1.91,3.25,0.493433881054
33.8,53.69,4年6个月,5.50万公里,4S店定期保养,非营运车,重庆,国4,2019年04月,2018年03月,0.629539951574,cq,5.5,4.33333333333,0.530243709623
3.78,5.2,11个月,0.80万公里,4S店定期保养,非营运车,重庆,国4,2018年11月,2017年11月,0.726923076923,cq,0.8,1.08333333333,0.979067138018
9.68,13.01,1年1个月,2.87万公里,无定期保养,非营运车,重庆,国5,2017年10月,2017年10月,0.744043043812,cq,2.87,1.08333333333,1.0670895973
7.8,12.58,1年7个月,0.80万公里,无定期保养,非营运车,重庆,"国4,OBD",2017年11月,2017年11月,0.620031796502,cq,0.8,1.08333333333,0.489683187192
4.98,24.29,7年4个月,7.39万公里,无定期保养,非营运车,重庆,OBD,2017年10月,2017年10月,0.205022643063,cq,7.39,7.58333333333,-1.3551932054
14.12,22.45,2年10个月,4.00万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年12月,2017年12月,0.628953229399,cq,4.0,2.16666666667,0.527728775886
42.8,282.01,10年5个月,10.00万公里,4S店定期保养,非营运车,重庆,欧4,2019年01月,2018年01月,0.151767667813,cq,10.0,1.08333333333,-1.72080372463
7.8,11.7,8个月,1.20万公里,4S店定期保养,非营运车,重庆,国5,2019年02月,2018年02月,0.666666666667,cq,1.2,8.66666666667,0.69314718056
5.68,8.24,1年5个月,1.50万公里,4S店定期保养,非营运车,重庆,国5,2018年05月,2019年05月,0.68932038835,cq,1.5,1.08333333333,0.796943974242
1.28,7.9,10年3个月,13.00万公里,4S店定期保养,非营运车,重庆,国4,2018年07月,已到期,0.162025316456,cq,13.0,1.08333333333,-1.64323529202
10.9,14.63,2年4个月,1.40万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.745044429255,cq,1.4,2.16666666667,1.07235455558
4.58,11.82,6年11个月,4.50万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.387478849408,cq,4.5,6.5,-0.457922208272
4.68,9.32,4年2个月,4.20万公里,4S店定期保养,非营运车,重庆,国4,2018年03月,2018年03月,0.502145922747,cq,4.2,4.33333333333,0.00858374369139
18.8,37.42,5年7个月,5.25万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.502405130946,cq,5.25,5.41666666667,0.00962059798698
15.88,22.01,2年4个月,5.85万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.721490231713,cq,5.85,2.16666666667,0.951865705871
1.48,6.39,8年3个月,7.00万公里,4S店定期保养,非营运车,重庆,欧4,2018年07月,2018年07月,0.231611893584,cq,7.0,8.66666666667,-1.19923185403
4.98,18.43,7年8个月,7.80万公里,4S店定期保养,非营运车,重庆,国4,2018年02月,2018年02月,0.270211611503,cq,7.8,7.58333333333,-0.993549215011
15.88,50.42,6年4个月,5.00万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.314954383181,cq,5.0,6.5,-0.7770576169
3.18,4.77,2年10个月,3.00万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.666666666667,cq,3.0,2.16666666667,0.69314718056
3.2,13.87,9年11个月,9.00万公里,4S店定期保养,非营运车,重庆,国2,2019年01月,2018年01月,0.230713770728,cq,9.0,9.75,-1.20428525551
4.88,34.19,12年3个月,12.00万公里,4S店定期保养,非营运车,重庆,欧4,2018年07月,2018年07月,0.142731792922,cq,12.0,1.08333333333,-1.79278353486
3.9,25.27,11年,10.00万公里,4S店定期保养,非营运车,重庆,国2,2017年10月,2017年10月,0.154333201425,cq,10.0,1.08333333333,-1.7010115162
5.48,10.08,4年1个月,4.00万公里,无定期保养,非营运车,重庆,"国4,京5",2017年11月,2017年11月,0.543650793651,cq,4.0,4.33333333333,0.175048797465
7.98,52.21,10年2个月,10.00万公里,4S店定期保养,非营运车,重庆,国3,已到期,已到期,0.152844282704,cq,10.0,1.08333333333,-1.71246488042
9.2,20.6,6年6个月,6.80万公里,4S店定期保养,非营运车,重庆,国4,2018年04月,2018年04月,0.446601941748,cq,6.8,6.5,-0.214409871345
12.55,21.04,3年2个月,4.00万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年08月,2019年08月,0.596482889734,cq,4.0,3.25,0.390831665255
11.28,21.89,4年3个月,10.00万公里,无定期保养,非营运车,重庆,"国4,京5",2017年11月,2017年11月,0.515303791686,cq,10.0,4.33333333333,0.061234293444
9.99,22.01,4年6个月,4.38万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.45388459791,cq,4.38,4.33333333333,-0.184987336447
4.58,8.66,2年9个月,3.00万公里,4S店定期保养,非营运车,重庆,国5,2018年01月,2018年01月,0.528868360277,cq,3.0,2.16666666667,0.11560200971
7.2,14.21,4年1个月,3.80万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.506685432794,cq,3.8,4.33333333333,0.0267433249755
6.28,8.02,2年8个月,1.30万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.783042394015,cq,1.3,2.16666666667,1.28348486725
7.58,14.08,3年7个月,2.60万公里,无定期保养,非营运车,重庆,"国4,京5",2017年11月,2017年11月,0.538352272727,cq,2.6,3.25,0.153711022753
16.8,33.43,4年4个月,5.00万公里,4S店定期保养,非营运车,重庆,国4,2018年06月,2018年06月,0.502542626383,cq,5.0,4.33333333333,0.0101705932044
5.88,14.86,5年3个月,6.00万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.395693135935,cq,6.0,5.41666666667,-0.423443120404
4.38,7.47,2年9个月,1.38万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.586345381526,cq,1.38,2.16666666667,0.348877633479
4.98,8.67,3年5个月,4.00万公里,4S店定期保养,非营运车,重庆,"国4,京5",2018年01月,2018年01月,0.574394463668,cq,4.0,3.25,0.299803432984
4.88,10.52,4年,3.60万公里,无定期保养,非营运车,重庆,欧5,2017年10月,2017年10月,0.463878326996,cq,3.6,4.33333333333,-0.144738845645
4.58,10.84,4年7个月,5.00万公里,4S店定期保养,非营运车,重庆,国4,2017年12月,2017年12月,0.422509225092,cq,5.0,4.33333333333,-0.312481186986
9.65,40.63,9年4个月,9.80万公里,4S店定期保养,非营运车,重庆,国4,2018年06月,2018年06月,0.237509229633,cq,9.8,9.75,-1.16638391964
6.68,16.26,5年,6.02万公里,4S店定期保养,非营运车,重庆,"国4,京5",2018年10月,2017年10月,0.410824108241,cq,6.02,5.41666666667,-0.360559604434
13.68,20.17,1年6个月,2.00万公里,4S店定期保养,非营运车,重庆,"国5,京5",2018年01月,2018年01月,0.678235002479,cq,2.0,1.08333333333,0.745672381478
6.4,9.0,1年4个月,1.60万公里,4S店定期保养,非营运车,重庆,国5,2018年06月,2018年06月,0.711111111111,cq,1.6,1.08333333333,0.900786545338
6.45,7.8,9个月,1.00万公里,4S店定期保养,非营运车,重庆,国5,2019年01月,2018年01月,0.826923076923,cq,1.0,9.75,1.56397553836
17.5,20.39,6个月,0.30万公里,4S店定期保养,非营运车,重庆,- -,2019年04月,2018年04月,0.858263854831,cq,0.3,6.5,1.80094437881
4.28,20.6,10年1个月,13.00万公里,4S店定期保养,非营运车,重庆,国4,2018年09月,2018年09月,0.207766990291,cq,13.0,1.08333333333,-1.33843833994
14.8,20.6,11个月,0.50万公里,4S店定期保养,非营运车,重庆,国5,2018年11月,2017年11月,0.718446601942,cq,0.5,1.08333333333,0.936769263218
8.8,21.47,8年5个月,9.80万公里,4S店定期保养,非营运车,重庆,国4,2018年05月,2018年05月,0.40987424313,cq,9.8,8.66666666667,-0.364485272849
17.68,33.43,4年1个月,3.00万公里,4S店定期保养,非营运车,重庆,国4,2017年09月,2017年09月,0.528866287765,cq,3.0,4.33333333333,0.115593691938
4.98,12.24,6年1个月,6.00万公里,4S店定期保养,非营运车,重庆,国4,2019年09月,2019年09月,0.406862745098,cq,6.0,6.5,-0.3769499378
4.8,18.43,7年8个月,7.00万公里,4S店定期保养,非营运车,重庆,国4,2018年02月,2018年02月,0.26044492675,cq,7.0,7.58333333333,-1.04365732779
4.68,11.92,5年6个月,5.10万公里,4S店定期保养,非营运车,重庆,"国4,OBD",2018年04月,2019年04月,0.392617449664,cq,5.1,5.41666666667,-0.436323096468
28.8,44.48,2年10个月,5.20万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年12月,2017年12月,0.647482014388,cq,5.2,2.16666666667,0.60798937222
15.0,42.2,5年4个月,6.00万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.355450236967,cq,6.0,5.41666666667,-0.5951667722
5.68,8.67,3年5个月,3.60万公里,无定期保养,非营运车,重庆,京5,2017年10月,2017年10月,0.655132641292,cq,3.6,3.25,0.64167784533
9.18,13.71,1年9个月,1.20万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.669584245077,cq,1.2,1.08333333333,0.706305265137
14.28,22.77,3年,4.00万公里,4S店定期保养,非营运车,重庆,"国4,京5",2018年10月,2017年10月,0.627140974967,cq,4.0,3.25,0.519970956588
2.88,7.85,5年2个月,5.00万公里,无定期保养,非营运车,重庆,国4,2018年08月,2018年08月,0.366878980892,cq,5.0,5.41666666667,-0.545629545961
4.56,13.44,6年2个月,9.00万公里,4S店定期保养,非营运车,重庆,国4,2019年08月,2019年08月,0.339285714286,cq,9.0,6.5,-0.666478933478
13.0,16.8,1年2个月,2.00万公里,4S店定期保养,非营运车,重庆,国5,2020年08月,2018年08月,0.77380952381,cq,2.0,1.08333333333,1.22994829073
2.5,5.92,5年8个月,4.57万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.422297297297,cq,4.57,5.41666666667,-0.3133498192
4.08,10.07,5年8个月,6.00万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.405163853029,cq,6.0,5.41666666667,-0.383994423711
1.68,10.19,10年1个月,12.80万公里,4S店定期保养,非营运车,重庆,国2,2017年09月,2017年09月,0.164867517174,cq,12.8,1.08333333333,-1.62244814917
12.6,43.31,7年8个月,9.00万公里,4S店定期保养,非营运车,重庆,国4,2018年02月,2018年02月,0.290925883168,cq,9.0,7.58333333333,-0.890891520495
8.28,10.4,1年4个月,1.00万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.796153846154,cq,1.0,1.08333333333,1.36242687971
2.38,5.42,5年2个月,6.30万公里,4S店定期保养,非营运车,重庆,国4,2018年08月,2019年08月,0.439114391144,cq,6.3,5.41666666667,-0.244757027735
1.38,5.2,6年9个月,2.00万公里,4S店定期保养,非营运车,重庆,国4,2019年01月,2018年01月,0.265384615385,cq,2.0,6.5,-1.01816692345
4.2,8.89,7年,7.00万公里,4S店定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.472440944882,cq,7.0,7.58333333333,-0.110348057169
23.8,63.93,7年11个月,6.00万公里,4S店定期保养,非营运车,重庆,欧4,2017年11月,2017年11月,0.372282183638,cq,6.0,7.58333333333,-0.522438603601
5.38,9.75,3年5个月,2.81万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.551794871795,cq,2.81,3.25,0.207925365066
2.9,9.31,7年11个月,8.00万公里,4S店定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.31149301826,cq,8.0,7.58333333333,-0.79314853394
8.18,24.94,7年11个月,10.30万公里,4S店定期保养,非营运车,重庆,- -,2017年11月,2017年11月,0.327987169206,cq,10.3,7.58333333333,-0.717302944439
13.8,41.57,6年2个月,6.00万公里,4S店定期保养,非营运车,重庆,国4,已到期,已到期,0.331970170796,cq,6.0,6.5,-0.699287709156
6.8,8.34,11个月,0.90万公里,4S店定期保养,非营运车,重庆,国5,2018年11月,2017年11月,0.815347721823,cq,0.9,1.08333333333,1.48514019576
0.42,4.6,9年4个月,7.00万公里,4S店定期保养,非营运车,重庆,国3,2018年06月,2018年06月,0.0913043478261,cq,7.0,9.75,-2.29781181424
3.38,8.12,3年11个月,6.00万公里,4S店定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.416256157635,cq,6.0,3.25,-0.338161426212
9.88,12.24,7个月,0.60万公里,4S店定期保养,非营运车,重庆,欧4,2019年03月,2018年03月,0.807189542484,cq,0.6,7.58333333333,1.43185089272
17.12,27.12,2年5个月,3.00万公里,4S店定期保养,非营运车,重庆,"国4,国5",2019年05月,2019年05月,0.631268436578,cq,3.0,2.16666666667,0.53766227772
3.46,9.75,6年4个月,5.30万公里,4S店定期保养,非营运车,重庆,国4,2019年06月,2019年06月,0.354871794872,cq,5.3,6.5,-0.597692481643
45.7,282.01,10年1个月,9.00万公里,4S店定期保养,非营运车,重庆,欧4,2018年09月,2018年09月,0.1620509911,cq,9.0,1.08333333333,-1.64304620448
19.8,30.94,3年6个月,4.50万公里,4S店定期保养,非营运车,重庆,国4,2018年04月,2018年03月,0.639948287007,cq,4.5,3.25,0.575139703201
19.8,30.05,1年1个月,0.92万公里,无定期保养,非营运车,重庆,国5,2017年10月,2017年10月,0.658901830283,cq,0.92,1.08333333333,0.658404232116
7.8,24.4,9年2个月,8.00万公里,4S店定期保养,非营运车,重庆,国4,2018年08月,2018年08月,0.319672131148,cq,8.0,9.75,-0.755278961667
7.66,21.47,9年4个月,8.50万公里,4S店定期保养,非营运车,重庆,国4,2018年06月,2018年06月,0.356776897997,cq,8.5,9.75,-0.589380983669
14.2,20.93,1年7个月,2.00万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年03月,2019年03月,0.6784519828,cq,2.0,1.08333333333,0.746666820951
13.9,18.01,1年4个月,4.00万公里,无定期保养,非营运车,重庆,"国4,国5",2017年11月,2017年11月,0.771793448084,cq,4.0,1.08333333333,1.21846581163
2.88,13.89,12年4个月,9.00万公里,4S店定期保养,非营运车,重庆,国4,2018年06月,2018年06月,0.207343412527,cq,9.0,1.08333333333,-1.34101365659
13.8,32.35,6年6个月,5.11万公里,无定期保养,非营运车,重庆,欧4,2017年11月,2017年11月,0.42658423493,cq,5.11,6.5,-0.29580119689
8.6,24.63,6年8个月,6.00万公里,4S店定期保养,非营运车,重庆,国4,2018年02月,2018年02月,0.349167681689,cq,6.0,6.5,-0.622699763362
5.48,15.93,7年7个月,7.80万公里,4S店定期保养,非营运车,重庆,国3,2018年03月,2018年03月,0.344005021971,cq,7.8,7.58333333333,-0.645496877451
13.8,43.31,6年7个月,9.00万公里,4S店定期保养,非营运车,重庆,国4,2018年03月,2018年03月,0.318633110136,cq,9.0,6.5,-0.760060596792
2.98,7.37,4年,5.00万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.40434192673,cq,5.0,4.33333333333,-0.38740592657
4.6,21.69,7年3个月,8.00万公里,无定期保养,非营运车,重庆,国4,2017年10月,2017年10月,0.212079299216,cq,8.0,7.58333333333,-1.31243719363
29.8,75.77,8年5个月,10.60万公里,4S店定期保养,非营运车,重庆,欧4,2018年05月,2018年05月,0.393295499538,cq,10.6,8.66666666667,-0.433480616307
4.8,9.95,3年3个月,3.20万公里,4S店定期保养,非营运车,重庆,"OBD,国5",已到期,已到期,0.482412060302,cq,3.2,3.25,-0.0703807967618
10.18,26.03,6年7个月,9.30万公里,4S店定期保养,非营运车,重庆,国4,2019年03月,2019年03月,0.391087207069,cq,9.3,6.5,-0.442744489201
5.3,13.0,7年11个月,6.95万公里,无定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.407692307692,cq,6.95,7.58333333333,-0.373513508302
12.8,14.96,11个月,0.70万公里,4S店定期保养,非营运车,重庆,"国4,国5",2018年11月,2017年11月,0.855614973262,cq,0.7,1.08333333333,1.77933694923
25.98,34.71,1年7个月,2.00万公里,4S店定期保养,非营运车,重庆,国5,2018年03月,2018年03月,0.748487467589,cq,2.0,1.08333333333,1.09056164139
15.0,28.44,3年11个月,3.20万公里,无定期保养,非营运车,重庆,"国4,OBD",2017年11月,2017年11月,0.527426160338,cq,3.2,3.25,0.109814866007
5.8,26.9,10年9个月,12.00万公里,4S店定期保养,非营运车,重庆,OBD,2018年01月,2018年01月,0.2156133829,cq,12.0,1.08333333333,-1.29141512293
4.5,15.62,5年11个月,6.00万公里,4S店定期保养,非营运车,重庆,国4,2017年11月,2017年11月,0.288092189501,cq,6.0,5.41666666667,-0.904667892046
5.8,23.44,9年,8.00万公里,4S店定期保养,非营运车,重庆,欧3,2017年10月,2017年10月,0.247440273038,cq,8.0,9.75,-1.11231113303
2.78,7.03,5年6个月,3.40万公里,4S店定期保养,非营运车,重庆,国4,2018年04月,2019年04月,0.395448079659,cq,3.4,5.41666666667,-0.424468055234
3.48,12.9,4年11个月,5.00万公里,4S店定期保养,非营运车,重庆,国4,2019年01月,2018年01月,0.26976744186,cq,5.0,4.33333333333,-0.995802794802
