,GPS导航,city,depre,miles,y,years,上牌城市,上牌时间,主副驾驶安全气囊,事故排查,仪表台指示灯,供油方式,倒车影像系统,倒车雷达,儿童座椅接口,全景天窗,公里数,内部配置,前制动类型,前后排侧气囊,前后排头部气囊,前后排座椅加热,前后电动车窗,前悬挂类型,前轮胎规格,助力类型,卖家报价(万),厂商,发动机,发动机状态,变速箱1,变速箱及转向,变速箱详情,后制动类型,后悬挂类型,后视镜加热,后视镜电动调节,后视镜电动调节.1,后轮胎规格,外观件更换检测,外部配置,多功能方向盘,安全系统,定速巡航,底盘悬架项,总车型,感应后备箱,感应雨刷,排放标准,排放标准.1,排量,整备质量,新车指导价(万),无钥匙启动系统,最大扭矩,最大马力,服务费,机舱项,款式年份,气缸,泡水排查,漆面修复检测,火烧排查,灯光系统,燃料类型,燃油标号,电动吸合门,电动天窗,真皮座椅,空调,级别,缺陷项检测,胎压检测,自动空调,行李容积,车内中控锁,车型1,车身稳定控制,车身结构,轴承,进气形式,钣金修复检测,长宽高,防抱死系统,随车工具,驱动方式,驻车制动类型,高科技配置
72,无,cd,0.598260869565,8.8,0.398223946852,1.25,成都,2016-03,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,8.8万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,185/60 R15,电动助力,6.88,上汽斯柯达,1.6L 110马力 L4,0.0,自动,0.0,6档自动变速箱(AT),鼓式,复合扭力梁式非独立悬架,标配,标配/标配,标配,185/60 R15,0.0,0.0,无,0.0,无,0.0,斯柯达昕锐 2015款 1.6L 自动智选型,无,无,国四,国四,1.6,1155,11.5,无,155,110.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,4.0,无,无,466,标配,斯柯达昕锐,无,4门5座三厢车,2603,自然吸气,0.0,4501/1706/1469,标配,0.0,,-,0.0
73,无,cd,0.565217391304,3.77,0.262364264467,1.25,成都,2016-03,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,3.77万公里,0.0,通风盘式,正常/无,正常/正常,无/无,无,麦弗逊式独立悬架,205/55 R16,电子液压助力,6.5,东风标致,1.6L 117马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,可变形横梁式，带横向稳定杆,标配,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,无,0.0,标致308 2014款 乐享版 经典 1.6L 手动优尚型,无,无,国四,国四,1.6,1325,11.5,无,150,117.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,2.0,无,无,565,标配,标致308,无,4门5座三厢车,2612,自然吸气,0.0,4558/1805/1505,标配,0.0,,-,0.0
74,无,cd,0.521367521368,11.99,0.0855221734382,3.83333333333,成都,2013-08,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,11.99万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,195/65 R15,机械液压助力,6.1,上汽大众,1.6L 105马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,195/65 R15,1.0,0.0,无,0.0,无,0.0,大众朗逸 2013款 经典 1.6L 手动风尚版,无,无,国四,国四,1.6,1245,11.7,无,155,105.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,4.0,无,无,472,标配,大众朗逸,无,4门5座三厢车,2610,自然吸气,0.0,4608/1743/1465,标配,0.0,,-,0.0
75,无,cd,0.657407407407,4.88,0.651761964397,1.58333333333,成都,2015-11,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,4.88万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/60 R16,电动助力,7.1,东风裕隆,1.8T 180马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,205/60 R16,0.0,0.0,无,0.0,无,0.0,纳智捷纳5 2015款 1.8T 自动智慧型,无,无,国四,国四,1.8,1410,10.8,无,256,180.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,3.0,无,无,470,标配,纳智捷纳5,标配,4门5座三厢车,2720,涡轮增压,0.0,4690/1805/1490,标配,0.0,,-,0.0
76,加装,cd,0.5592,8.24,0.237915933081,1.25,成都,2016-03,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,8.24万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,205/55 R16,机械液压助力,6.99,东风悦达起亚,1.6L 128马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,无,0.0,起亚K3S 2014款 1.6L 手动GLS,无,无,国四,国四,1.6,1260,12.5,无,156,128.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,加装,标配,紧凑型车,7.0,无,无,-,标配,起亚K3S,无,5门5座两厢车,2700,自然吸气,0.0,4365/1780/1460,标配,0.0,,-,0.0
77,无,cd,0.509302325581,9.98,0.0372135963404,2.58333333333,成都,2014-11,正常/正常,0.0,0.0,多点电喷,无,标配,无,无,9.98万公里,0.0,通风盘式,正常/正常,正常/正常,无/无,无,麦弗逊式独立悬架,175/70 R14,机械液压助力,4.38,北京现代,1.4L 107马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,扭力梁式非独立悬架,无,标配/标配,标配,175/70 R14,0.0,0.0,无,0.0,无,0.0,现代瑞纳 2014款 1.4L 手动智能型GLS,无,无,国四,国四,1.4,1070,8.6,无,135,107.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,6.0,0.0,0.0,汽油,92号,无,无,无,标配,小型车,5.0,无,无,454,标配,现代瑞纳,无,4门5座三厢车,2570,自然吸气,2.0,4375/1700/1460,标配,0.0,,-,0.0
78,无,cd,0.553703703704,7.98,0.2156466399,2.41666666667,成都,2015-01,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,7.98万公里,0.0,通风盘式,无/无,无/无,无/无,无,双横臂式独立悬架,215/50 R17,机械液压助力,5.98,一汽奔腾,2.0L 147马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,多连杆独立悬架,无,标配/标配,标配,215/50 R17,0.0,0.0,标配,0.0,标配,0.0,奔腾B70 2014款 2.0L 手动舒适型,无,无,国四,国四,2.0,1460,10.8,无,184,147.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,无,无,标配,中型车,4.0,无,标配,522,标配,奔腾B70,无,4门5座三厢车,2725,自然吸气,1.0,4800/1820/1472,标配,0.0,,-,0.0
79,无,cd,0.622047244094,4.55,0.498246841559,1.16666666667,成都,2016-04,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,4.55万公里,0.0,通风盘式,正常/正常,正常/正常,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,7.9,上汽通用别克,1.5L 114马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,无,0.0,别克英朗 2016款 15N 手动精英型,无,无,国五,国五,1.5,1225,12.7,无,143,114.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,4.0,标配,无,-,标配,别克英朗,标配,4门5座三厢车,2640,自然吸气,0.0,4587/1798/1463,标配,0.0,,-,0.0
80,无,cd,0.60404040404,3.4,0.42232891416,1.08333333333,成都,2016-05,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,3.4万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,185/60 R15,电动助力,5.98,上汽斯柯达,1.4L 90马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,复合扭力梁式非独立悬架,标配,标配/标配,标配,185/60 R15,0.0,0.0,无,0.0,无,0.0,斯柯达昕锐 2016款 1.4L 手动创行版,无,无,国四,国四,1.4,1100,9.9,无,132,90.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,3.0,无,无,466,标配,斯柯达昕锐,无,4门5座三厢车,2603,自然吸气,0.0,4501/1706/1469,标配,0.0,,-,0.0
81,无,cd,0.75,6.25,1.09861228867,2.0,成都,2015-06,正常/正常,0.0,0.0,直喷,无,标配,标配,无,6.25万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,225/50 R17,电动助力,15.0,上汽大众,1.4T 150马力 L4,0.0,自动,0.0,7档双离合变速箱(DCT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/50 R17,0.0,0.0,标配,0.0,标配,0.0,大众凌渡 2015款 280TSI DSG舒适版,无,无,国五,国五,1.4,1365,20.0,无,250,150.0,6000元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,0.0,标配,标配,480-11,标配,大众凌渡,标配,4门5座三厢车,2656,涡轮增压,0.0,4598/1826/1425,标配,0.0,,-,0.0
82,标配,cd,0.756302521008,6.9,1.13251384034,1.5,成都,2015-12,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,6.9万公里,0.0,通风盘式,无/无,无/无,无/无,标配,双横臂式扭杆弹簧独立悬架,235/65 R18,机械液压助力,9.0,长城汽车,2.0T 190马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,五连杆式非独立悬架,无,标配/标配,标配,235/65 R18,0.0,0.0,标配,0.0,标配,0.0,哈弗H5 2016款 经典版 2.0T 手动两驱精英型,无,标配,国四,国四,2.0,-,11.9,无,250,190.0,3600元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型SUV,0.0,标配,标配,-,标配,哈弗H5,标配,5门5座SUV,2700,涡轮增压,1.0,4645/1800/1785,标配,0.0,-,-,0.0
83,无,cd,0.689655172414,4.1,0.798507696218,1.08333333333,成都,2016-05,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,4.1万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,215/55 R18,电动助力,10.0,上汽通用雪佛兰,1.4T 140马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,复合扭力梁式非独立悬架,标配,标配/标配,标配,215/55 R18,0.0,0.0,标配,0.0,无,0.0,雪佛兰创酷 2016款 1.4T 自动两驱豪华型,无,无,国五,国五,1.4,1410,14.5,无,200,140.0,4000元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,小型SUV,1.0,无,无,356-13,标配,雪佛兰创酷,标配,5门5座SUV,2555,涡轮增压,0.0,4248/1776/1674,标配,0.0,-,-,0.0
84,标配,cd,0.78125,3.15,1.27296567581,1.0,成都,2016-06,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,3.15万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,机械液压助力,7.5,长安汽车,1.6L 125马力 L4,0.0,自动,0.0,4档手自一体变速箱(AT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,无,0.0,长安逸动 2015款 1.6L 自动豪华型,无,无,国四,国四,1.6,1325,9.6,无,160,125.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,1.0,无,无,510,标配,长安逸动,标配,4门5座三厢车,2660,自然吸气,0.0,4620/1820/1490,标配,0.0,,-,0.0
85,加装,cd,0.679245283019,6.85,0.7503055944,1.66666666667,成都,2015-10,正常/正常,0.0,0.0,直喷,加装,标配,标配,无,6.85万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,10.8,一汽-大众,1.4T 131马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,1.0,0.0,无,0.0,标配,0.0,大众速腾 2015款 230TSI 手动舒适型,无,无,国五,国五,1.4,1360,15.9,无,225,131.0,4320元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,0.0,标配,无,510,标配,大众速腾,标配,4门5座三厢车,2651,涡轮增压,3.0,4655/1780/1453,标配,0.0,,-,0.0
86,加装,cd,0.610169491525,7.23,0.448024722527,1.91666666667,成都,2015-07,正常/正常,0.0,0.0,直喷,加装,标配,标配,标配,7.23万公里,0.0,通风盘式,正常/无,无/无,无/无,标配,麦弗逊式独立悬架,235/50 R18,电动助力,14.4,长安福特,1.5T 181马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,235/50 R18,0.0,0.0,标配,0.0,标配,0.0,福特翼虎 2015款 1.5L GTDi 两驱风尚型,无,标配,国五,国五,1.5,-,23.6,无,240,181.0,5760元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型SUV,3.0,无,标配,-,标配,福特翼虎,标配,5门5座SUV,2690,涡轮增压,0.0,4524/1838/1695,标配,0.0,-,-,0.0
87,加装,cd,0.742424242424,6.51,1.05860695405,1.66666666667,成都,2015-10,无/无,0.0,0.0,多点电喷,加装,无,标配,无,6.51万公里,0.0,通风盘式,无/无,无/无,无/无,无,双横臂式独立悬架,195/65 R15,机械液压助力,4.9,东风风行,1.5L 112马力 L4,0.0,手动,0.0,5档手动变速箱(MT),鼓式,钢板弹簧非独立悬架,无,标配/无,无,195/65 R15,0.0,0.0,无,0.0,无,0.0,东风风行菱智 2015款 V3 1.5L 7座舒适型,无,无,国四,国四,1.5,-,6.6,无,130,112.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,无,无,标配,MPV,9.0,无,无,-,标配,东风风行菱智,无,4门7座MPV,2800,自然吸气,1.0,4645/1695/1940,标配,0.0,,-,0.0
88,加装,cd,0.59880239521,10.98,0.400477566597,2.66666666667,成都,2014-10,正常/正常,0.0,0.0,直喷,加装,标配,标配,无,10.98万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,10.0,一汽-大众,1.4T 131马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,标配,0.0,大众速腾 2014款 改款 1.4TSI 手动豪华型,无,无,国四,国四,1.4,1350,16.7,无,220,131.0,4000元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,10.0,0.0,0.0,汽油,95号,无,标配,标配,标配,紧凑型车,2.0,标配,标配,510,标配,大众速腾,标配,4门5座三厢车,2651,涡轮增压,0.0,4644/1778/1482,标配,0.0,,-,0.0
89,标配,cd,0.512396694215,10.6,0.0495969411394,3.5,成都,2013-12,正常/正常,0.0,0.0,多点电喷,标配,无,标配,无,10.6万公里,0.0,通风盘式,正常/无,正常/正常,无/无,标配,麦弗逊式独立悬架,225/65 R17,机械液压助力,6.2,长城汽车,1.5T 150马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,双横臂式独立悬架,标配,标配/标配,标配,225/65 R17,0.0,0.0,标配,0.0,标配,0.0,哈弗H6 2012款 1.5T 手动两驱精英型,无,标配,国四,国四,1.5,1541,12.1,无,210,150.0,3500元（车价x4%，最低3500元） ,0.0,2012款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,标配,标配,紧凑型SUV,3.0,标配,标配,808-20,标配,哈弗H6,无,5门5座SUV,2680,涡轮增压,0.0,4640/1825/1690,标配,0.0,-,-,0.0
90,无,cd,0.507614213198,11.63,0.0304592074847,3.41666666667,成都,2014-01,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,11.63万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,225/55 R17,电动助力,10.0,上汽通用雪佛兰,1.6T 184马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,225/55 R17,0.0,0.0,无,0.0,无,0.0,雪佛兰迈锐宝 2013款 1.6T 自动舒适版,无,无,国四,国四,1.6,1580,19.7,无,235,184.0,4000元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,7.0,0.0,0.0,汽油,92号,无,标配,无,标配,中型车,4.0,无,无,544,标配,雪佛兰迈锐宝,标配,4门5座三厢车,2737,涡轮增压,0.0,4869/1854/1472,标配,0.0,,-,0.0
91,无,cd,0.694444444444,4.8,0.82098055207,1.58333333333,成都,2015-11,正常/正常,0.0,0.0,多点电喷,无,无,标配,无,4.8万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,175/70 R14,电动助力,7.5,上汽大众,1.6L 110马力 L4,0.0,自动,0.0,6档自动变速箱(AT),鼓式,复合扭力梁式非独立悬架,无,标配/标配,无,175/70 R14,0.0,0.0,无,0.0,无,0.0,大众桑塔纳 2015款 1.6L 自动风尚版,无,无,国四,国四,1.6,1155,10.8,无,155,110.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,4.0,无,无,466,标配,大众桑塔纳,无,4门5座三厢车,2603,自然吸气,0.0,4473/1706/1469,标配,0.0,,-,0.0
92,无,cd,0.632911392405,5.4,0.544727175442,1.41666666667,成都,2016-01,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,5.4万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,5.0,一汽奔腾,1.6L 109马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,无,标配/标配,标配,205/55 R16,3.0,0.0,标配,0.0,标配,0.0,奔腾B30 2016款 1.6L 手动豪华型,无,无,国五,国五,1.6,1230,7.9,无,155,109.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,1.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,2.0,无,无,480,标配,奔腾B30,标配,4门5座三厢车,2630,自然吸气,2.0,4625/1790/1500,标配,0.0,,-,0.0
93,无,cd,0.529411764706,8.5,0.117783035656,2.58333333333,成都,2014-11,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,8.5万公里,0.0,通风盘式,无/无,无/无,无/无,标配,麦弗逊式独立悬架+横向稳定杆,215/60 R17,机械液压助力,4.5,奇瑞汽车,1.6L 126马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,双连杆式独立悬架+横向稳定杆,标配,标配/标配,标配,215/60 R17,0.0,0.0,标配,0.0,无,0.0,奇瑞瑞虎3 2014款 1.6L 手动智尚版,无,无,国四,国四,1.6,1358,8.5,无,160,126.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,标配,无,标配,小型SUV,2.0,无,标配,550,标配,奇瑞瑞虎3,无,5门5座SUV,2510,自然吸气,0.0,4420/1760/1670,标配,0.0,,-,0.0
94,无,cd,0.557971014493,15.48,0.23293155768,1.83333333333,成都,2015-08,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,15.48万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,7.7,上汽通用别克,1.5L 114马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,无,0.0,别克英朗 2015款 15N 自动精英型,无,无,国五,国五,1.5,1255,13.8,无,143,114.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,5.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,1.0,标配,无,-,标配,别克英朗,标配,4门5座三厢车,2640,自然吸气,5.0,4587/1798/1463,标配,0.0,,-,0.0
95,无,cd,0.677631578947,9.61,0.742908690119,1.5,成都,2015-12,无/无,0.0,0.0,直喷,无,无,无,无,9.61万公里,0.0,通风盘式,无/无,无/无,无/无,无,双摆臂扭杆弹簧,215/75 R16,液压助力,10.3,南京依维柯,2.5T 122马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,钢板弹簧,无,标配/无,无,215/75 R16,1.0,0.0,无,0.0,标配,0.0,依维柯Power Daily 2012款 2.5T-A32基本型,无,无,国四,国四,2.5,2375,15.2,无,320,122.0,4120元（车价x4%，最低3500元） ,0.0,Daily,L4,0.0,3.0,0.0,0.0,柴油,0号,无,无,无,标配,轻客,11.0,无,标配,-,标配,依维柯Power,无,客车,2800,涡轮增压,0.0,4905/2000/2500,无,0.0,,-,0.0
96,无,cd,0.579710144928,8.39,0.321583624127,1.75,成都,2015-09,正常/正常,0.0,0.0,多点电喷,无,标配,标配,无,8.39万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,8.0,上汽通用别克,1.5L 114马力 L4,0.0,自动,0.0,6档手自一体变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,无,0.0,别克英朗 2015款 15N 自动精英型,无,无,国四,国四,1.5,1255,13.8,无,143,114.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,0.0,标配,无,-,标配,别克英朗,标配,4门5座三厢车,2640,自然吸气,0.0,4587/1798/1463,标配,0.0,,-,0.0
97,加装,cd,0.472222222222,8.57,-0.11122563511,1.91666666667,成都,2015-07,正常/正常,0.0,0.0,多点电喷,加装,无,标配,无,8.57万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,5.1,上汽集团,1.5T 129马力 L4,0.0,手动,0.0,6档手动变速箱(MT),盘式,H型扭力梁式悬架,无,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,无,0.0,MG锐行 2015款 1.5T 手动精英版,无,无,国五,国五,1.5,-,10.8,无,210,129.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,0.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,12.0,无,无,485,标配,MG锐行,无,4门5座三厢车,2650,涡轮增压,0.0,4612/1804/1488,标配,0.0,,-,0.0
98,加装,cd,0.54598540146,11.68,0.184462885235,3.58333333333,成都,2013-11,正常/正常,1.0,0.0,多点电喷,加装,标配,标配,无,11.68万公里,0.0,通风盘式,正常/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,7.48,上汽大众,1.6L 110马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,扭力梁式非独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,无,0.0,大众朗逸 2013款 改款经典 1.6L 手动舒适版,无,无,国四,国四,1.6,-,13.7,无,155,110.0,3500元（车价x4%，最低3500元） ,0.0,2013款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,标配,标配,标配,紧凑型车,3.0,标配,无,478,标配,大众朗逸,标配,4门5座三厢车,2610,自然吸气,2.0,4605/1765/1460,标配,0.0,,-,0.0
99,加装,cd,0.611111111111,5.61,0.451985123743,1.25,成都,2016-03,正常/正常,0.0,0.0,多点电喷,加装,无,标配,无,5.61万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,175/70 R14,电动助力,5.5,上汽通用雪佛兰,1.5L 113马力 L4,0.0,自动,0.0,4档自动变速箱(AT),鼓式,整体扭杆梁式非独立,无,标配/标配,标配,175/70 R14,0.0,0.0,无,0.0,无,0.0,雪佛兰乐风RV 2016款 1.5L 自动畅行版,无,无,国五,国五,1.5,1114,9.0,无,141,113.0,3500元（车价x4%，最低3500元） ,0.0,2016款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,小型车,2.0,无,无,308-97,标配,雪佛兰乐风RV,标配,5门5座两厢车,2550,自然吸气,4.0,4205/1722/1525,标配,0.0,,-,0.0
100,加装,cd,0.638888888889,4.09,0.570544858468,1.25,成都,2016-03,正常/正常,0.0,0.0,多点电喷,加装,加装,标配,无,4.09万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,175/70 R14,电动助力,6.9,上汽大众,1.6L 110马力 L4,0.0,自动,0.0,6档自动变速箱(AT),鼓式,复合扭力梁式非独立悬架,无,标配/标配,无,175/70 R14,0.0,0.0,无,0.0,无,0.0,大众桑塔纳 2015款 1.6L 自动风尚版,无,无,国四,国四,1.6,1155,10.8,无,155,110.0,3500元（车价x4%，最低3500元） ,0.0,2015款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,无,加装,标配,紧凑型车,6.0,无,无,466,标配,大众桑塔纳,无,4门5座三厢车,2603,自然吸气,1.0,4473/1706/1469,标配,0.0,,-,0.0
101,加装,cd,0.565217391304,6.31,0.262364264467,1.41666666667,成都,2016-01,正常/正常,0.0,0.0,多点电喷,加装,标配,标配,无,6.31万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电子液压助力,6.5,东风标致,1.6L 117马力 L4,0.0,手动,0.0,5档手动变速箱(MT),盘式,可变形横梁式，带横向稳定杆,标配,标配/标配,标配,205/55 R16,0.0,0.0,无,0.0,无,0.0,标致308 2014款 乐享版 经典 1.6L 手动优尚型,无,无,国四,国四,1.6,1325,11.5,无,150,117.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,2.0,0.0,0.0,汽油,92号,无,无,无,标配,紧凑型车,0.0,无,无,565,标配,标致308,无,4门5座三厢车,2612,自然吸气,0.0,4558/1805/1505,标配,0.0,,-,0.0
102,标配,cd,0.533980582524,7.52,0.136132174325,2.0,成都,2015-06,正常/正常,0.0,0.0,多点电喷,标配,标配,标配,无,7.52万公里,0.0,通风盘式,无/无,无/无,无/无,无,麦弗逊式独立悬架,205/55 R16,电动助力,5.5,广汽乘用车,1.6L 122马力 L4,0.0,自动,0.0,4档自动变速箱(AT),盘式,多连杆独立悬架,标配,标配/标配,标配,205/55 R16,0.0,0.0,标配,0.0,标配,0.0,传祺GA3S视界 2014款 1.6L 自动豪华ESP版,无,无,国四,国四,1.6,-,10.3,无,158,122.0,3500元（车价x4%，最低3500元） ,0.0,2014款,L4,0.0,3.0,0.0,0.0,汽油,92号,无,标配,无,标配,紧凑型车,8.0,无,无,450,标配,传祺GA3S视界,标配,4门5座三厢车,2620,自然吸气,3.0,4590/1790/1490,标配,0.0,,-,0.0
